"3-CUP-AP-88","3-001-02-1-23","東千田 総合校舎B 2F B217前廊下(B274)"
"3-CUP-AP-89","3-001-02-1-24","東千田 総合校舎B 2F B209前廊下(B273)"
"3-CUP-AP-90","3-007-01-1-05","東千田 未来創生センター 1F 保健管理センター(M103)"
"3-CUP-AP-91","3-002-02-1-40","東千田 総合校舎A 2F 院生自習室1(A201)"
"3-CUP-AP-92","3-002-02-1-41","東千田 総合校舎A 2F 院生自習室2(A202)"
"3-CUP-AP-93","3-002-02-1-41","東千田 総合校舎A 2F グループ学習室前室(A206-1)"
"3-CUP-WAP-1","3-002-01-1-09","東千田 総合校舎A 1F 支援室(A101)"
"3-CUP-WAP-100","3-008-02-1-24","東千田 総合校舎L 2F 学生室9(L210)"
"3-CUP-WAP-101","3-008-02-1-24","東千田 総合校舎L 2F 学生室11(L212)"
"3-CUP-WAP-102","3-008-03-1-48","東千田 総合校舎L 3F コモンスペース(L324)"
"3-CUP-WAP-103","3-008-04-1-48","東千田 総合校舎L 4F コモンスペース(L424)"
"3-CUP-WAP-104","3-008-05-1-24","東千田 総合校舎L 5F 会議・応接室(講師控室)(L501)"
"3-CUP-WAP-105","3-008-05-1-24","東千田 総合校舎L 5F 会議室1(L503)"
"3-CUP-WAP-106","3-008-05-1-24","東千田 総合校舎L 5F 会議室3(L505)"
"3-CUP-WAP-107","3-008-05-1-24","東千田 総合校舎L 5F 多目的スペース(L509)-1"
"3-CUP-WAP-108","3-008-05-1-24","東千田 総合校舎L 5F 多目的スペース倉庫側(L509)-2"
"3-CUP-WAP-109","3-008-05-1-24","東千田 総合校舎L 6F 体育館ベンチエリア(L601)"
"3-CUP-WAP-11","3-005-02-1-53","東千田 総合校舎S 2F 講義室(S207)-1"
"3-CUP-WAP-110","3-008-03-1-48","東千田 総合校舎L 3F EV前廊下"
"3-CUP-WAP-111","3-008-03-1-48","東千田 総合校舎L 3F 資料室横廊下"
"3-CUP-WAP-112","3-008-04-1-48","東千田 総合校舎L 4F EV前廊下"
"3-CUP-WAP-113","3-008-04-1-48","東千田 総合校舎L 4F 資料室横廊下"
"3-CUP-WAP-114","3-003-02-1-18","東千田 総合校舎C 2F C208"
"3-CUP-WAP-12","3-002-02-1-53","東千田 総合校舎A 3F 大会議室(A302)-1"
"3-CUP-WAP-13","3-002-02-1-53","東千田 総合校舎A 3F 大会議室(A302)-2"
"3-CUP-WAP-14","3-002-02-1-53","東千田 総合校舎A 4F 講義室(402)-1"
"3-CUP-WAP-15","3-002-02-1-53","東千田 総合校舎A 4F 講義室(402)-2"
"3-CUP-WAP-16","3-002-02-1-53","東千田 総合校舎A 5F 多目的室(501)-1"
"3-CUP-WAP-17","3-002-02-1-53","東千田 総合校舎A 5F 多目的室(501)-2"
"3-CUP-WAP-18","3-002-02-1-53","東千田 総合校舎A 5F 多目的室(501)-3"
"3-CUP-WAP-19","3-003-02-1-21","東千田 総合校舎C 1F 101休憩室前廊下(C173)"
"3-CUP-WAP-2","3-001-01-1-48","東千田 総合校舎B 1F 計算機室2(B112)"
"3-CUP-WAP-20","3-007-01-1-05","東千田 未来創生センター 1F ラウンジ(M173)"
"3-CUP-WAP-21","3-007-01-1-05","東千田 未来創生センター 1F BIBLAsenda南側(M101)"
"3-CUP-WAP-22","3-007-01-1-05","東千田 未来創生センター 1F BIBLAsenda北側(M101-1)"
"3-CUP-WAP-23","3-007-02-1-05","東千田 未来創生センター 2F 講義室(M201)-1"
"3-CUP-WAP-24","3-007-02-1-05","東千田 未来創生センター 2F 講義室(M202)-1"
"3-CUP-WAP-25","3-007-02-1-05","東千田 未来創生センター 2F 講義室(M203)-1"
